timestamp;id;linear_velocity_x;linear_velocity_y;linear_acceleration_x;linear_acceleration_y;yaw_rate;force_x;force_y;torque_n;fault_label
34.935;14;0.6494887440627632;-0.5758056572458721;0.2676808834075928;0.0548669658601284;5.497426054301939;0.7605;2.592;26.6;0
35.435;14;0.5810588108316551;-0.5665266233291242;0.2486892491579056;0.0636717826128006;5.587068332998199;0.28800000000000003;2.592;25.6;0
35.935;14;0.5251582707880825;-0.5242484715123102;0.225830078125;0.01486777514219284;5.4873948541944255;0.28800000000000003;1.6245;26.0;0
36.435;14;0.4974548435154534;-0.5388894833069742;0.21386784315109253;0.1095997393131256;4.563099134629082;0.7605;1.6245;35.6;0
36.935;14;0.4467578261786602;-0.5359598948823967;0.24271851778030398;0.09275152534246443;4.7319819962471925;0.8405000000000001;2.592;144.6;0
37.435;14;0.4075233438541722;-0.5103851662333403;0.2024400532245636;0.14821434020996094;4.575387637124575;0.28800000000000003;2.592;190.8;0
37.935;14;0.36299073434348206;-0.4780971502221914;0.18609556555747986;0.10448311269283296;5.39573517497675;0.28800000000000003;1.6245;197.4;0
38.435;14;0.29608125627191545;-0.4554276313098001;0.19490700960159305;0.1286882609128952;6.711981607298209;0.8405000000000001;1.6245;197.4;0
38.935;14;0.24397043638968466;-0.4100332588800383;0.12087701261043547;0.0956491082906723;7.73644910569609;0.8405000000000001;2.592;191.8;0
39.435;14;0.19422994993203632;-0.3567698238656399;0.14281870424747467;0.08863633871078491;8.543383822047716;0.28800000000000003;1.6245;200.0;0
39.935;14;0.1651066533462869;-0.3380444599369655;0.1440570056438446;0.05302734673023224;10.465020113476283;0.28800000000000003;1.6245;200.0;0
40.435;14;0.10104001016951103;-0.3372590704700397;0.12828874588012695;0.05197159945964813;10.43795720165136;0.7605;2.592;200.0;0
40.935;14;0.06277445798966187;-0.32948276844117946;0.12785795331001282;0.04957734420895577;9.974915122154627;0.7605;2.592;200.0;0
41.435;14;0.05325296249054436;-0.2616692889030389;0.12227654457092285;0.030466806143522263;11.183823568349755;0.28800000000000003;1.6245;200.0;0
41.935;14;0.024104686994834045;-0.18865533757957745;0.11287261545658113;0.0923214629292488;11.521627050566444;0.28800000000000003;1.6245;199.4;0
